,loan_amnt,int_rate,annual_inc,loan_status,open_acc,open_il_12m,Charged_Off
70642,12000,10.33,115000.0,Current,10.0,2.0,0
490788,20000,11.99,19200.0,Current,9.0,0.0,0
2081591,35000,18.25,153619.0,Charged Off,27.0,,0
900431,8000,7.99,67000.0,Fully Paid,10.0,1.0,0
781582,17000,9.16,50000.0,Fully Paid,9.0,0.0,0
1955876,12000,8.39,50000.0,Fully Paid,9.0,,0
181711,14000,16.91,52000.0,Current,12.0,2.0,0
423164,8000,9.92,45000.0,Current,5.0,0.0,0
1412337,10000,11.39,90000.0,Current,19.0,0.0,0
2204573,40000,11.99,40500.0,Current,11.0,1.0,0
567991,9000,7.59,145000.0,Fully Paid,14.0,0.0,0
1823854,20000,15.31,51000.0,Fully Paid,8.0,,0
1240256,12000,16.55,90000.0,Charged Off,24.0,,0
2226711,16000,9.93,55000.0,Current,15.0,1.0,0
1930201,14000,12.99,49000.0,Fully Paid,7.0,,0
939378,15000,7.26,70000.0,Fully Paid,26.0,0.0,0
156771,1500,11.06,85000.0,Current,22.0,0.0,0
604095,10000,10.99,50000.0,Current,18.0,0.0,0
2065686,22000,11.99,65000.0,Fully Paid,8.0,,0
1631691,4000,11.49,30000.0,Charged Off,14.0,0.0,0
1194690,12000,12.29,54000.0,Fully Paid,12.0,,0
1023563,10000,9.17,75000.0,Current,10.0,,0
214545,8000,8.46,75000.0,Current,7.0,0.0,0
2022358,9000,6.49,83000.0,Fully Paid,8.0,,0
1554387,16000,9.93,100000.0,Current,26.0,0.0,0
1506934,20000,12.62,85000.0,Current,12.0,0.0,0
36656,12800,8.19,50000.0,Current,8.0,0.0,0
842976,10000,7.49,65000.0,Current,21.0,1.0,0
2228818,17100,11.99,45000.0,Current,16.0,1.0,0
1242829,12000,12.29,78000.0,Charged Off,17.0,,0
505344,20000,15.59,40000.0,Charged Off,12.0,0.0,0
1887401,6600,11.44,41000.0,Fully Paid,16.0,,0
